Sector,Year,Industry,Industry price change %,Max increase ticker (increase %),Max volume ticker (volume)
HEALTH CARE,2006,MAJOR PHARMACEUTICALS,-57.77,AMAG (431.79),PFE (7823693800)
HEALTH CARE,2014,BIOTECHNOLOGY: IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,-57.86,QTNT (141.61),CLDX (609888700)
HEALTH CARE,1996,BIOTECHNOLOGY: COMMERCIAL PHYSICAL & BIOLOGICAL RESARCH,-58.24,INCY (83.11),INCY (105161200)
HEALTH CARE,1997,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),-58.34,VBIV (90.91),AMGN (3196498400)
HEALTH CARE,2008,MEDICAL ELECTRONICS,-61.28,HOLX (-61.28),HOLX (1577403600)
HEALTH CARE,1994,BIOTECHNOLOGY: IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,-61.51,NEOG (25.58),IDXX (227692800)
HEALTH CARE,2002,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),-62.17,RGEN (13.01),GILD (8298040000)
HEALTH CARE,2008,MAJOR PHARMACEUTICALS,-63.03,EBS (412.97),PFE (12676020400)
HEALTH CARE,1999,HOSPITAL/NURSING MANAGEMENT,-64.0,FMS (17.01),DVA (688980800)
HEALTH CARE,2001,BIOTECHNOLOGY: COMMERCIAL PHYSICAL & BIOLOGICAL RESARCH,-64.42,BASI (203.14),INCY (201085600)
HEALTH CARE,1998,BIOTECHNOLOGY: IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,-65.87,IDXX (67.51),IDXX (317856400)
HEALTH CARE,2007,HOSPITAL/NURSING MANAGEMENT,-66.71,MD (40.43),THC (493577900)
HEALTH CARE,1992,OPHTHALMIC GOODS,-67.48,COO (-61.54),STAA (14999300)
HEALTH CARE,2002,BIOTECHNOLOGY: ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,-70.65,VAR (41.92),MDT (1012471000)
HEALTH CARE,2008,BIOTECHNOLOGY: IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,-71.22,MYGN (43.61),MYGN (602979800)
HEALTH CARE,2016,BIOTECHNOLOGY: ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,-72.34,AXGN (78.22),MDT (1365997200)
HEALTH CARE,2002,BIOTECHNOLOGY: IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,-79.45,IDXX (17.66),MYGN (417404600)
HEALTH CARE,2010,MAJOR PHARMACEUTICALS,-81.82,ALT (4936.07),PFE (13873171000)
HEALTH CARE,2007,BIOTECHNOLOGY: IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,-82.32,VIVO (81.94),MYGN (313983600)
HEALTH CARE,2008,HOSPITAL/NURSING MANAGEMENT,-83.29,ENSG (21.75),DVA (526015400)
HEALTH CARE,2015,BIOTECHNOLOGY: ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,-85.84,VIVE (72.45),MDT (1588301000)
HEALTH CARE,2016,MAJOR PHARMACEUTICALS,-85.97,CRBP (424.84),PFE (7836820000)
MISCELLANEOUS,1982,MULTI-SECTOR COMPANIES,370.0,IDCC (370.0),IDCC (5102500)
MISCELLANEOUS,1985,BUSINESS SERVICES,219.63,TSS (219.63),TSS (29733600)
MISCELLANEOUS,1980,INDUSTRIAL MACHINERY/COMPONENTS,169.39,SPB (169.44),CAJ (28857000)
MISCELLANEOUS,2005,MULTI-SECTOR COMPANIES,163.56,SPEX (167.44),TIVO (136240700)
MISCELLANEOUS,2003,OTHER CONSUMER SERVICES,113.41,CRAI (113.41),CRAI (12461200)
MISCELLANEOUS,1989,BUSINESS SERVICES,110.89,BID (137.97),BID (38380200)
MISCELLANEOUS,2001,OTHER CONSUMER SERVICES,110.26,CRAI (110.26),CRAI (5089300)
MISCELLANEOUS,1983,MULTI-SECTOR COMPANIES,104.23,ITUS (190.7),IDCC (7006600)
MISCELLANEOUS,1999,BUSINESS SERVICES,97.48,STCN (867.25),EBAY (22035977700)
MISCELLANEOUS,1998,BUSINESS SERVICES,94.35,STCN (595.51),EBAY (8137309900)
MISCELLANEOUS,2000,INDUSTRIAL MACHINERY/COMPONENTS,86.29,FCEL (466.93),ESIO (128816700)
MISCELLANEOUS,2009,PUBLISHING,80.94,CMPR (195.57),RRD (670623700)
MISCELLANEOUS,1986,BUSINESS SERVICES,70.91,TSS (70.91),TSS (20560800)
MISCELLANEOUS,2003,INDUSTRIAL MACHINERY/COMPONENTS,69.13,ULBI (225.79),IMAX (142626500)
MISCELLANEOUS,1988,MULTI-SECTOR COMPANIES,66.4,ITUS (79.69),IDCC (27584200)
MISCELLANEOUS,1985,MULTI-SECTOR COMPANIES,65.59,ITUS (71.43),IDCC (9820400)
MISCELLANEOUS,1982,OFFICE EQUIPMENT/SUPPLIES/SERVICES,64.42,PBI (83.0),PBI (210265600)
MISCELLANEOUS,2003,BUSINESS SERVICES,63.85,KGJI (900.0),EBAY (14187747400)
MISCELLANEOUS,2013,BUSINESS SERVICES,59.29,WAGE (231.33),EBAY (6445216300)
MISCELLANEOUS,2013,PUBLISHING,58.52,RRD (127.87),RRD (577452800)
MISCELLANEOUS,1982,PUBLISHING,57.62,RRD (57.62),RRD (51276000)
MISCELLANEOUS,1974,OFFICE EQUIPMENT/SUPPLIES/SERVICES,55.93,PBI (55.93),PBI (52238400)
MISCELLANEOUS,1999,OTHER CONSUMER SERVICES,52.27,CRAI (52.27),CRAI (7783100)
MISCELLANEOUS,2004,OTHER CONSUMER SERVICES,49.86,CRAI (49.86),CRAI (24954400)
MISCELLANEOUS,1989,PUBLISHING,49.02,RRD (49.64),RRD (54656000)
MISCELLANEOUS,1989,INDUSTRIAL MACHINERY/COMPONENTS,48.9,SPB (55.56),ESIO (16293400)
MISCELLANEOUS,1995,BUSINESS SERVICES,48.01,STCN (526.12),STCN (82990000)
MISCELLANEOUS,1991,OFFICE EQUIPMENT/SUPPLIES/SERVICES,46.83,PBI (59.81),PBI (147048400)
MISCELLANEOUS,2009,BUSINESS SERVICES,40.2,KGJI (1566.67),EBAY (10146300700)
MISCELLANEOUS,1992,INDUSTRIAL MACHINERY/COMPONENTS,39.01,FCEL (75.34),ESIO (13201400)
MISCELLANEOUS,1979,OFFICE EQUIPMENT/SUPPLIES/SERVICES,38.38,PBI (38.38),PBI (95052800)
MISCELLANEOUS,2003,PUBLISHING,38.24,LABL (50.96),RRD (154660700)
MISCELLANEOUS,1980,PUBLISHING,38.05,RRD (38.05),RRD (29396000)
MISCELLANEOUS,2010,OFFICE EQUIPMENT/SUPPLIES/SERVICES,36.4,PAY (124.32),NCR (544218100)
MISCELLANEOUS,2013,OTHER CONSUMER SERVICES,36.0,SFLY (65.14),SFLY (176875100)
MISCELLANEOUS,2013,INDUSTRIAL MACHINERY/COMPONENTS,35.4,ARTX (249.0),IMAX (178413500)
MISCELLANEOUS,1992,PUBLISHING,34.27,RRD (35.05),RRD (45349000)
MISCELLANEOUS,1995,OFFICE EQUIPMENT/SUPPLIES/SERVICES,34.24,PBI (49.21),PBI (149916000)
MISCELLANEOUS,1992,OFFICE EQUIPMENT/SUPPLIES/SERVICES,33.34,PAR (122.73),PBI (118711800)
MISCELLANEOUS,1995,INDUSTRIAL MACHINERY/COMPONENTS,32.56,IMAX (167.65),ESIO (62823600)
MISCELLANEOUS,1993,BUSINESS SERVICES,32.3,FICO (87.5),HMSY (35565600)
MISCELLANEOUS,2018,OTHER CONSUMER SERVICES,31.74,SFLY (50.37),SFLY (150742700)
MISCELLANEOUS,2017,BUSINESS SERVICES,31.42,GRVY (788.99),BABA (3892314300)
MISCELLANEOUS,1983,PUBLISHING,31.34,RRD (31.34),RRD (63998800)
MISCELLANEOUS,1985,PUBLISHING,30.85,RRD (30.85),RRD (57420800)
MISCELLANEOUS,2009,OTHER CONSUMER SERVICES,30.42,SFLY (143.97),SFLY (60578100)
MISCELLANEOUS,1998,MULTI-SECTOR COMPANIES,29.61,TIVO (179.34),TIVO (53034000)
MISCELLANEOUS,1984,PUBLISHING,29.37,RRD (29.37),RRD (54629600)
MISCELLANEOUS,1995,PUBLISHING,29.17,RRD (34.62),RRD (51352900)
MISCELLANEOUS,1986,OFFICE EQUIPMENT/SUPPLIES/SERVICES,28.73,PBI (53.0),PBI (151143200)
MISCELLANEOUS,2004,BUSINESS SERVICES,28.65,CREG (1114.52),EBAY (10522625500)
MISCELLANEOUS,1984,BUSINESS SERVICES,28.23,TSS (28.23),TSS (28917600)
MISCELLANEOUS,2010,OTHER CONSUMER SERVICES,27.48,SFLY (93.51),SFLY (62943600)
MISCELLANEOUS,2016,MULTI-SECTOR COMPANIES,27.28,IDCC (88.58),TIVO (297054400)
MISCELLANEOUS,1977,OFFICE EQUIPMENT/SUPPLIES/SERVICES,26.77,PBI (26.77),PBI (103129600)
MISCELLANEOUS,2001,PUBLISHING,25.97,LABL (219.41),RRD (78648900)
MISCELLANEOUS,2016,PUBLISHING,25.01,QUAD (199.33),RRD (458471100)
MISCELLANEOUS,1975,OFFICE EQUIPMENT/SUPPLIES/SERVICES,24.47,PBI (24.47),PBI (93539200)
MISCELLANEOUS,1996,OFFICE EQUIPMENT/SUPPLIES/SERVICES,24.46,DBD (73.45),PBI (153773400)
MISCELLANEOUS,1994,BUSINESS SERVICES,24.19,STCN (190.63),HMSY (55072200)
